"CNTLNUM","SCHCNTL","currentTeacher","TFSFINWT","F0105","F0108","F0113","F0116","T0293","T0294","T0295","T0296","T0297","T0298","T0299","T0300","T0301","T0303","T0306","T0307","T0308","T0309","T0310","T0311","T0312","T0315","T0320","T0321","T0322","T0324","T0325","T0326","T0327","T0331","T0332","T0335","T0336","T0337","T0338","T0339","T0340","TFNLWGT","LEP_T","MGMNT_T","NEWTCH","PLAN","PUPILS_D","PUPILS_S","SBKGD_T","SDLQ_T","T0051","T0059","T0106","T0120","T0122","T0124","T0125","T0126","T0127","T0147","T0148","T0149","T0150","T0153","T0154","T0155","T0156","T0158","T0208","T0248","T0250","treat","teachImputed","PUPILS","PSCHMAN","PFAMBACK","PSTUDEL","PSTUPAR","PTEACSUP","pscore","distance","weights","subclass"
100048,102475,1,6.1544,"Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree",5,5,5,5,5,4,1,1,4,3,1,2,1,1,1,1,1,2,2,1,2,4,2,4,4,4,1,1,2,1,2,1,1,5.8464,0,20,"Teacher has taught 3 years or less",14.29,0,13,6,15,1,0,2,1,5,1,1,1,1,1,1,5,2,1,1,1,2,1,13,1,-8,0,1,13,-1.10262877670521,-0.737267550617071,-0.244248603382184,-0.413789270122264,-1.15331751282023,0.439493533885459,0.439493533885459,1,"121"
100260,101895,1,518.9728,"Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree",4,2,5,5,4,5,2,2,3,2,3,3,3,3,2,3,2,2,1,2,2,3,2,2,3,4,1,3,2,2,3,2,1,69.7088,0,14,"Teacher has taught 3 years or less",9.38,0,0,10,12,1,0,0,1,5,1,1,2,2,1,1,5,2,1,1,2,2,2,41,1,1,0,1,0,0.54087133524231,0.0171510909071607,-0.574333493458643,-0.477203722931787,0.822215649033434,0.315060997389497,0.315060997389497,1,"115"
100620,109009,1,62.0378,"Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree",3,2,5,3,4,4,2,2,1,3,1,3,3,2,2,2,3,1,2,3,2,2,4,3,4,4,2,2,2,1,3,2,1,57.8874,0,15,"Teacher has taught 3 years or less",2.5,64,0,8,17,1,1,0,3,5,1,1,1,1,2,-8,0,2,2,1,2,2,2,0,1,-8,0,0,64,0.322254118016568,-0.373822391936717,0.0355560721133675,-0.322721798097521,0.368997522280938,0.255082056782499,0.255082056782499,1,"99"
101135,102190,1,671.6914,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree",4,5,4,5,4,5,2,2,2,2,1,1,1,1,2,2,2,3,2,3,3,3,2,3,3,4,2,3,2,3,3,2,2,489.0873,0,16,"Teacher has taught 3 years or less",11.11,0,0,11,14,1,0,0,3,5,1,1,1,1,1,2,5,2,2,1,1,2,2,0,1,-8,0,0,0,-0.164246338392851,0.446915047303279,-0.117110035115837,0.193196161023171,-0.583516706655118,0.17544709467163,0.17544709467163,1,"196"
101183,103865,1,901.5983,"Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree",3,4,4,4,4,4,2,2,4,2,2,3,2,2,3,2,2,2,1,2,2,3,3,4,4,4,3,3,3,2,3,1,1,220.4174,0,14,"Teacher has taught 3 years or less",3.33,0,20,11,18,1,0,1,2,5,1,1,1,1,1,1,5,2,2,1,1,2,2,20,-8,-8,0,0,20,0.474168467027592,0.245435867106221,0.330641245416702,-0.209398807451734,0.177203061610096,0.245086923704395,0.245086923704395,1,"195"
101723,108021,1,541.8774,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree",4,5,5,5,5,5,1,2,3,3,1,4,2,2,1,2,1,2,1,3,3,4,3,4,4,4,2,3,4,3,4,1,2,119.635,4.29,19,"Teacher has taught 3 years or less",2.17,70,0,14,17,1,0,0,1,5,1,2,1,1,2,-8,0,2,2,2,2,2,1,0,1,2,0,0,70,-0.318468870005248,0.917859153532478,0.374177221684015,0.514442982836375,-0.18337486059524,0.160048526581178,0.160048526581178,1,"13"
101824,100444,0,92.0568,"Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree",5,5,5,5,5,5,3,3,3,3,2,3,1,2,2,2,2,2,2,3,3,4,4,4,4,4,3,3,3,2,2,2,3,76.5456,0,13,"Teacher has taught 3 years or less",10.63,0,11,10,19,1,0,1,1,5,1,1,1,1,1,1,4,2,2,1,2,2,2,11,2,-8,0,0,11,0.526672773080644,0.177669831855098,0.606754388483483,0.615746945006659,-0.204555840923384,0.22838140860914,0.22838140860914,1,"141"
101839,110586,0,116.3166,"Strongly agree","Strongly agree","Strongly agree","Somewhat disagree",5,4,3,3,4,5,1,2,3,4,1,2,3,2,1,2,2,4,2,1,1,1,3,3,2,3,1,1,3,1,4,4,3,85.8835,2.22,18,"Teacher has taught 3 years or less",11.46,135,0,9,12,1,0,0,1,5,1,1,1,1,1,1,3,2,2,2,1,2,2,0,1,1,0,0,135,-0.343870002072187,-0.449224325007118,-0.814452136690387,-1.46079735906239,0.293179528311176,0.126589659833713,0.126589659833713,1,"34"
101881,104145,0,495.5188,"Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree",2,4,4,4,4,4,2,1,4,4,2,2,2,2,2,4,3,3,3,3,2,4,4,3,3,4,2,1,1,1,3,2,1,322.465,0,15,"Teacher has taught 3 years or less",17.5,0,0,6,16,1,1,0,3,5,1,1,1,1,1,1,2,2,1,1,1,2,2,20,2,1,0,0,0,0.273669112600555,-0.684907428617112,-0.0933475041135697,-0.03181162131824,0.449594581473608,0.215344157004776,0.215344157004776,1,"2"
102197,101944,1,21.5446,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree",2,2,4,1,4,5,1,2,2,3,1,2,3,2,1,3,2,2,1,3,2,3,3,4,3,3,3,2,3,2,3,1,1,20.4667,0,18,"Teacher has taught 3 years or less",3.33,0,10,10,16,1,0,0,1,5,1,1,1,1,2,-8,0,1,1,1,2,2,2,10,1,-8,0,1,10,-0.28389010215174,0.0780118302360652,0.031029115845779,-0.190961453361286,0.359048334909253,0.465733957638946,0.465733957638946,1,"158"
102213,111116,1,124.0647,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree",3,4,5,5,4,5,1,1,3,2,1,2,2,1,1,1,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,1,2,110.0358,0,20,"Teacher has taught 3 years or less",6.25,0,0,16,20,1,0,1,1,5,1,1,1,1,2,-8,0,1,1,1,2,2,2,27,2,-8,0,0,0,-1.04171315519295,1.83442602705974,1.51658367209322,1.58073327704775,-1.00516496470677,0.265059819492338,0.265059819492338,1,"146"
102244,103292,0,66.0919,"Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree",5,3,4,4,2,5,2,2,1,4,2,3,2,2,2,3,3,3,3,2,1,3,3,3,3,3,1,2,3,2,4,3,3,52.4774,0,14,"Teacher has taught 3 years or less",15,163,0,11,13,1,1,0,3,5,1,2,1,1,1,1,5,2,2,2,1,2,2,0,2,-8,0,0,163,0.44971624625806,0.0963051847551166,-0.535435985315145,-0.735816870838447,0.438064360000494,0.0855010219733459,0.0855010219733459,1,"84"
102287,106385,1,22.9273,"Somewhat disagree","Strongly disagree","Strongly agree","Strongly disagree",4,4,5,5,5,5,2,3,1,2,1,2,2,2,1,2,2,1,1,2,2,4,4,4,4,4,3,2,2,2,2,1,1,20.3347,100,16,"Teacher has taught 3 years or less",8.54,0,18,8,19,1,0,1,3,5,1,1,1,1,1,1,3,1,2,1,1,2,2,18,1,2,0,0,18,-0.048760261923004,-0.0921241801412266,0.471042667349599,-0.0348834323752493,-0.0366955793007958,0.443287402379375,0.443287402379375,1,"4"
102674,104083,0,7.729,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree",4,5,5,5,4,5,3,3,3,1,4,4,3,2,3,2,2,1,2,4,4,4,3,3,3,4,2,4,4,3,4,2,1,5.2786,0,10,"Teacher has taught 3 years or less",3.13,59,0,15,15,1,0,1,1,5,1,1,1,1,2,-8,0,2,2,1,1,2,2,0,2,-8,0,0,59,1.14623243992725,1.07302735915952,0.160104590770097,1.14883314147017,0.481274234228774,0.192111312064903,0.192111312064903,1,"1"
102769,108705,1,646.0031,"Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree",4,4,4,4,4,4,1,2,2,2,3,2,2,2,1,3,3,1,1,3,3,4,4,4,4,4,4,3,2,3,3,1,1,85.6493,40,15,"Teacher has taught 3 years or less",3.75,0,15,11,20,1,0,1,1,5,1,1,1,1,2,-8,0,2,2,1,2,2,2,15,-8,1,0,0,15,0.0785229138375585,0.616756211803946,0.966802560953202,0.651501644808127,0.145465049822035,0.353945133390022,0.353945133390022,1,"102"
103003,108325,0,361.0935,"Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree",4,4,4,4,2,4,2,2,4,4,2,2,4,2,2,2,2,4,2,2,2,4,4,4,4,4,4,2,2,2,2,4,3,29.4852,0,15,"Teacher has taught 3 years or less",2.86,0,0,8,20,1,0,0,1,5,1,1,2,1,2,-8,0,1,2,1,1,2,2,18,1,-8,0,0,0,0.264023718494315,-0.0580463172029107,0.712154487261408,-0.00927588112457779,0.551873549626562,0.304799337867196,0.304799337867196,1,"5"
103242,100194,1,883.3235,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree",4,4,5,5,5,5,1,1,3,2,1,2,2,3,1,2,1,1,1,3,3,3,1,3,3,4,2,2,3,2,3,2,3,185.6906,4.17,20,"Teacher has taught 3 years or less",25.71,0,24,10,13,1,0,1,1,5,1,1,1,1,1,1,3,2,2,1,2,2,2,24,2,2,0,0,24,-0.722494250879296,0.0551045357733669,-0.241220869775822,0.0470790375880504,-0.0806047115313415,0.114134601831642,0.114134601831642,1,"178"
103257,103290,1,48.2874,"Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree",4,3,4,4,4,4,1,1,3,2,1,4,3,2,1,2,2,3,1,3,3,2,3,3,3,4,2,2,2,2,3,3,5,39.1519,1.64,19,"Teacher has taught 3 years or less",10.42,122,0,9,15,1,0,1,1,5,1,1,1,1,1,2,4,2,1,1,1,2,2,0,2,2,0,0,122,-0.265696172227326,-0.036544973771418,-0.111311171590601,-0.0724043727235768,0.144993242014157,0.296236883062265,0.296236883062265,1,"110"
103361,107060,1,147.6884,"Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree",3,4,5,5,5,5,2,2,3,2,1,2,2,2,2,2,2,4,2,2,2,4,4,3,2,4,1,2,4,3,3,1,2,111.3614,6.85,16,"Teacher has taught 3 years or less",10,73,0,12,14,1,0,0,3,5,1,1,1,1,1,1,5,2,1,1,1,2,2,0,2,1,0,0,73,0.0472173008394987,0.475502592711476,-0.268617729503014,-0.164817307795298,0.0247939689735969,0.269566909231862,0.269566909231862,1,"49"
103474,103290,1,652.9956,"Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree",1,2,4,5,4,4,2,2,4,4,3,3,4,2,2,1,3,3,2,3,2,4,3,3,3,3,1,2,2,1,3,2,3,379.9062,2.86,13,"Teacher has taught 3 years or less",5,105,0,8,13,1,0,1,1,5,1,1,1,1,1,2,5,2,2,1,2,2,2,0,1,2,0,0,105,0.614787692437229,-0.444774403984131,-0.505291915106337,-0.0779318699656981,0.434550730266315,0.221992770799903,0.221992770799903,1,"94"
103905,110472,1,132.0003,"Somewhat disagree","Neither agree nor disagree","Strongly agree","Strongly agree",5,4,5,5,5,5,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,4,3,4,4,4,3,1,1,3,3,1,1,107.0266,0,20,"Teacher has taught 3 years or less",0,0,0,8,18,1,0,0,3,5,1,1,1,1,1,1,5,2,1,1,1,2,2,0,2,-8,0,0,0,-1.30535251188166,0.208502044226398,0.533420105708582,0.511547781952336,-1.10846916416426,0.27616175864898,0.27616175864898,1,"128"
104130,105255,1,423.5258,"Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat disagree",4,4,4,5,4,4,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,3,2,2,2,3,1,1,251.7744,0,20,"Teacher has taught 3 years or less",4.17,0,19,9,14,1,0,2,3,5,1,1,1,1,1,1,5,1,2,1,1,2,2,19,-8,-8,0,0,19,-1.53910401595196,-0.100925066049606,-0.283834857581356,-1.23671886047378,-1.17898770400545,0.242167218089102,0.242167218089102,1,"138"
104216,101260,1,54.9305,"Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree",1,2,4,3,3,4,1,1,4,3,1,2,2,2,1,2,2,2,2,3,4,4,3,3,3,3,3,4,4,4,4,1,1,44.5383,0,19,"Teacher has taught 3 years or less",1.35,264,0,16,15,1,0,0,3,5,1,1,1,1,1,1,5,2,2,2,1,2,2,0,2,-8,0,0,264,-0.593289059240995,1.505566042482,0.259061918260221,0.884781905191,-0.316999551582654,0.0519075304738325,0.0519075304738325,1,"142"
104343,108665,1,102.8578,"Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree",3,3,5,4,5,5,3,3,2,2,1,1,1,1,1,1,1,1,1,3,2,4,4,3,4,4,3,2,1,2,2,1,1,89.5027,0,16,"Teacher has taught 3 years or less",14.38,0,0,7,18,1,0,0,3,5,1,1,1,1,1,1,2,1,2,1,1,2,2,18,-8,1,0,1,0,-0.250607622606687,-0.199119146572703,0.355584661543436,0.18138090190162,-0.883543886173823,0.309142051651274,0.309142051651274,1,"180"
104431,101241,1,13.0777,"Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree",4,5,5,5,5,5,1,1,2,2,1,2,1,1,1,1,2,2,1,1,1,2,3,2,3,3,2,2,3,1,3,2,5,9.0767,0,19,"Teacher has taught 3 years or less",16.67,105,0,9,13,1,1,1,3,5,1,1,1,1,1,1,5,2,2,1,1,2,2,0,2,-8,0,1,105,-0.8564572854962,-0.381567963535633,-0.519749079351261,-1.08386616701178,-0.931872087906587,0.287702909960066,0.287702909960066,1,"80"
105237,106157,1,108.7464,"Somewhat disagree","Strongly agree","Somewhat agree","Neither agree nor disagree",5,2,4,5,3,5,2,2,4,2,2,4,2,2,2,1,1,1,1,2,3,4,3,4,3,4,2,3,3,3,3,1,1,100.3951,0,16,"Teacher has taught 3 years or less",0,0,0,12,16,1,0,1,1,5,1,1,1,1,1,1,5,2,1,1,1,2,2,4,1,-8,0,0,0,0.205568616015023,0.57471618757569,0.117201716850656,0.27634445732174,-0.20670136491463,0.347781791510089,0.347781791510089,1,"185"
105363,110055,1,444.2967,"Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree",5,5,5,5,5,5,1,1,2,3,1,3,1,1,1,1,1,2,1,3,2,4,3,4,4,3,3,2,3,3,3,1,2,40.4227,0,20,"Teacher has taught 3 years or less",12.5,0,0,11,17,1,1,0,3,5,1,1,1,1,1,2,4,2,2,1,1,2,2,7,1,2,0,0,0,-0.924380408460289,0.464546782079451,0.299287458870663,0.171472297826502,-1.13783509861477,0.207347161779736,0.207347161779736,1,"64"
105654,104627,1,320.4066,"Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree",2,3,5,5,5,5,1,2,4,1,1,2,1,1,1,1,2,2,1,1,3,4,3,3,4,3,3,3,3,3,3,2,1,249.3344,0,18,"Teacher has taught 3 years or less",5,0,26,12,16,1,0,0,1,5,1,1,1,1,2,-8,0,2,2,1,2,2,1,26,2,-8,0,0,26,-0.588967409691035,0.579833123322457,0.162116537373266,0.076677388027566,-0.980565655048241,0.227734391706622,0.227734391706622,1,"124"
105946,111198,1,25.3257,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree",4,5,5,5,4,5,1,4,4,4,1,1,2,1,1,2,1,2,1,1,1,3,3,3,4,3,2,1,2,2,2,1,1,22.4618,0,17,"Teacher has taught 3 years or less",6.88,0,20,7,15,1,0,1,1,5,1,1,1,1,2,-8,0,1,1,1,2,2,1,20,1,-8,0,1,20,-0.458280973025207,-0.360099382139425,-0.27360372084788,-0.900857411019193,-0.270919492306807,0.548567703559708,0.548567703559708,1,"35"
106120,105937,1,71.6176,"Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree",4,4,5,5,3,5,2,2,3,4,2,4,3,2,2,2,2,1,2,2,1,2,3,3,3,3,2,1,2,2,3,2,3,54.0017,5.08,15,"Teacher has taught 3 years or less",18.75,59,0,8,14,1,0,0,1,5,1,1,1,1,2,-8,0,2,2,1,2,2,2,0,-8,2,0,0,59,0.429648484284882,-0.272271034081422,-0.422483331700123,-0.888745586316958,0.481571288941849,0.303116719517406,0.303116719517406,1,"81"
106301,109219,1,37.2762,"Strongly disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree",4,4,4,4,4,3,1,1,1,2,1,3,2,1,1,2,1,1,1,3,3,4,4,4,4,4,3,3,3,3,3,1,1,24.9634,0,20,"Teacher has taught 3 years or less",11.62,0,18,12,19,1,0,0,1,5,1,1,1,1,2,-8,0,1,2,1,2,2,2,18,1,-8,0,0,18,-0.733264442570658,0.696713579824482,0.744431243507266,0.593027316425192,-0.541550983859419,0.218397210999347,0.218397210999347,1,"44"
106605,101100,1,386.8345,"Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree",4,4,5,5,5,5,1,1,4,3,1,1,1,1,1,1,3,1,2,3,3,4,3,4,3,4,4,3,3,2,3,1,1,94.2509,7.14,18,"Teacher has taught 3 years or less",9.26,0,14,11,18,1,0,0,1,5,1,1,1,1,2,-8,0,1,1,1,2,2,2,14,1,2,0,0,14,-0.807323268177997,0.327793528190247,0.588595869666443,0.591621386657277,-1.16243615248653,0.353843477514009,0.353843477514009,1,"50"
106801,112038,1,677.828,"Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree",4,4,4,4,4,3,2,2,2,2,2,2,2,2,1,1,2,2,1,3,2,4,4,4,4,4,3,4,4,4,4,1,1,245.1171,0,16,"Teacher has taught 3 years or less",9.46,0,19,16,19,1,0,1,1,5,1,1,1,1,1,1,4,2,1,1,1,2,1,19,-8,-8,0,0,19,-0.11556871511273,1.55616883978044,0.797757231684693,0.335022098800289,-0.29908738854008,0.436707750057571,0.436707750057571,1,"47"
