sex,age,income,Qa1,Qa2,Qa3,Qa4,Qa5,Qa6,Qa7,Qb1,Qb2,Qb3,Qc1,Qc2,Qc3,Qc4,Qd1,Qd2,Qd3,Qd4,Qd5
1,29,3,5,5,6,6,6,6,6,7,7,6,5,5,5,6,5,5,4,4,5
2,32,5,6,5,4,5,4,4,6,4,4,4,4,4,4,4,4,4,4,4,5
1,27,3,5,4,4,4,4,3,4,3,1,1,4,3,3,4,4,5,4,2,3
2,29,4,6,6,6,7,7,5,6,3,3,4,5,5,6,5,6,6,5,5,6
2,30,2,5,6,5,5,6,5,6,5,6,6,6,5,5,6,6,6,6,4,6
1,29,5,6,6,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4
2,26,3,6,7,7,6,6,5,7,6,5,4,5,5,4,6,6,6,6,5,6
1,30,3,5,4,4,4,4,4,4,1,1,1,2,2,2,1,4,5,5,1,4
1,27,5,6,6,6,6,5,5,6,6,6,6,5,5,5,5,4,4,4,4,4
1,29,2,5,4,5,5,4,4,5,4,4,5,4,4,4,5,5,5,5,4,5
1,30,5,3,4,5,3,7,7,4,7,7,6,4,7,7,6,7,4,7,7,3
1,30,2,6,6,6,5,5,6,6,4,5,5,5,5,5,6,6,5,4,5,5
1,30,3,5,5,5,5,5,4,5,4,4,4,4,5,4,5,4,4,4,3,4
2,34,4,6,6,6,7,6,6,6,4,5,5,5,6,6,5,6,7,6,5,6
2,29,3,5,6,5,6,7,5,6,6,5,6,7,6,5,6,6,7,6,7,6
2,39,4,5,5,4,5,6,4,5,4,5,4,5,5,5,4,4,5,5,4,5
1,28,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
2,29,2,4,4,4,5,4,3,4,1,2,1,4,2,3,3,5,4,4,3,5
1,29,3,4,5,4,5,5,5,5,4,4,4,5,5,5,5,4,5,5,5,5
2,28,5,5,5,4,5,6,3,6,3,5,6,5,4,5,4,3,4,4,3,3
1,29,3,6,6,6,6,6,5,5,3,4,3,5,4,5,5,5,5,4,5,5
1,30,3,1,1,1,1,1,1,6,1,1,1,1,1,1,1,2,1,1,1,1
2,27,1,7,4,5,5,4,4,7,4,4,3,5,6,4,4,5,5,7,7,7
1,29,5,6,6,6,6,6,4,5,6,6,5,6,5,6,6,6,7,7,7,7
1,29,2,5,6,6,6,6,6,6,6,4,4,5,4,4,6,6,5,6,6,6
2,29,5,5,6,6,6,6,5,7,5,4,5,5,5,5,5,6,6,6,7,7
2,29,1,4,5,3,4,5,6,4,5,5,4,4,5,4,5,4,5,6,4,4
1,28,4,7,7,6,6,6,5,6,4,4,4,4,4,5,6,7,7,7,5,7
2,26,5,5,6,6,6,5,5,6,2,4,4,4,2,3,3,3,4,4,3,4
2,26,2,6,7,6,7,7,6,6,5,5,5,4,4,3,5,5,6,5,4,4
2,29,4,6,6,6,6,5,5,6,5,5,6,5,4,4,5,4,4,5,4,5
2,30,2,2,4,3,3,5,1,5,5,4,4,4,4,4,3,5,5,5,4,4
2,27,3,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5
2,27,2,6,7,6,5,5,6,5,5,6,6,5,6,6,6,5,6,6,5,6
2,33,3,5,5,4,4,4,4,4,4,2,2,2,3,3,2,2,2,2,1,2
1,26,3,5,5,5,6,6,4,6,4,4,4,4,4,4,5,4,4,5,4,4
2,36,4,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,6,6,5,5
1,36,4,5,4,5,4,4,3,4,1,2,1,4,1,1,1,3,4,3,1,3
2,39,3,4,5,5,5,5,5,5,4,4,4,4,4,3,3,4,4,3,4,7
2,27,1,6,5,6,5,5,3,5,2,3,1,2,2,2,1,4,5,5,2,4
1,28,1,5,5,4,5,5,3,5,3,4,3,4,3,3,4,4,5,4,4,4
1,24,2,5,5,4,5,5,5,6,5,5,5,5,5,5,6,5,5,6,4,5
2,34,2,5,5,5,6,6,6,7,6,5,6,6,6,5,6,6,7,6,6,7
1,25,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6
1,23,2,7,7,7,7,7,6,6,6,6,6,6,6,6,7,7,7,6,5,6
1,25,2,7,7,7,7,7,6,7,4,4,4,6,5,5,4,7,7,7,6,6
2,28,3,6,6,6,5,5,4,6,4,4,4,4,4,4,4,4,5,5,4,4
1,27,3,5,4,4,4,5,3,4,4,4,4,4,3,4,3,4,4,3,4,4
1,24,4,5,4,4,4,4,3,4,3,3,3,3,3,2,2,3,2,1,1,4
2,31,3,5,6,6,7,6,5,6,6,7,7,7,6,5,6,6,6,7,5,7
1,29,2,5,5,5,4,5,4,6,4,5,5,4,4,4,5,5,5,4,3,5
2,34,2,6,6,5,5,6,4,6,4,5,4,4,4,5,5,5,5,5,5,5
2,29,3,7,6,5,5,5,4,6,4,4,3,4,4,4,4,4,4,4,3,6
2,29,2,6,7,6,6,6,6,6,4,5,5,6,5,6,5,5,6,5,4,5
2,33,3,7,7,6,7,7,5,7,4,4,3,6,4,4,4,7,6,6,5,6
2,26,3,5,4,4,5,4,3,3,3,3,3,5,5,4,4,4,3,5,2,3
2,29,5,5,6,6,6,6,5,7,3,3,4,5,4,4,4,6,6,5,5,7
2,27,5,6,6,4,5,6,3,5,5,5,5,6,7,6,5,5,6,6,3,5
2,37,3,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,3,5
2,26,2,6,4,4,4,5,4,6,3,3,3,4,4,4,3,3,3,3,2,3
2,22,5,6,7,6,6,6,6,6,1,2,1,1,1,1,1,3,1,4,4,4
