"pid","y11","y21","y12","y22","y13","y23","y14","y24","income","h_num","age","sex","edu","spouse","x"
201,4,4,3,3,5,3,3,3,1430,1,50,1,12,1,1
1001,3,2,5,2,3,3,3,3,1790,1,47,0,0,0,0
1601,5,3,3,3,3,3,3,3,1320,1,53,0,6,0,0
1802,3,5,5,2,3,3,3,3,5880,5,51,0,6,1,0
3202,2,2,4,2,2,3,3,3,4366,3,55,0,9,1,1
4001,2,2,2,2,3,3,3,3,4480,2,50,1,12,1,1
4401,4,3,3,3,5,4,4,3,2940,4,47,1,9,1,1
4901,4,3,3,3,4,3,3,2,2534,3,58,1,12,1,1
4902,4,4,4,2,4,3,3,2,2534,3,52,0,9,1,1
5101,4,4,4,4,3,3,3,3,4800,3,45,0,16,0,0
5503,5,5,5,4,4,3,2,2,1360,2,46,1,14,0,0
6801,4,2,2,2,4,3,3,2,1382,3,59,1,12,1,0
7201,3,2,2,2,4,3,2,2,5072,3,57,1,12,1,1
7202,3,2,2,2,4,3,2,2,5072,3,52,0,12,1,1
7301,4,4,3,3,4,3,3,2,3990,3,51,1,6,1,1
7302,4,4,3,3,4,3,2,2,3990,3,50,0,9,1,0
7901,3,2,2,2,3,3,2,2,7150,3,52,1,16,1,1
8001,2,3,3,3,4,3,3,3,6680,3,56,1,12,1,1
8002,2,3,3,3,4,3,3,3,6680,3,50,0,12,1,1
9101,4,3,3,3,3,2,2,2,2880,2,54,1,12,1,1
9301,5,4,4,4,3,3,3,2,4512,3,50,1,12,1,0
9401,3,4,4,4,5,4,4,3,1852,2,59,1,9,1,0
9402,3,4,4,4,5,4,3,2,1852,2,55,0,6,1,0
10101,2,2,2,2,3,3,2,2,6520,3,47,1,18,1,1
11201,4,3,3,3,4,3,3,3,1986,2,59,1,12,1,1
11202,4,3,4,3,4,3,3,3,1986,2,54,0,9,1,1
11901,5,4,3,3,4,4,3,4,423,1,49,1,6,1,0
12001,3,4,3,3,3,3,3,2,4200,3,51,1,9,1,1
12601,4,3,3,3,3,3,3,2,4044,2,49,1,9,1,1
13101,5,4,4,2,4,3,3,2,3700,2,46,1,9,1,1
13102,5,3,3,2,4,3,3,2,3700,2,46,0,9,1,1
13301,5,4,4,3,5,4,3,2,3880,2,55,1,6,1,0
13702,5,4,4,3,3,3,3,2,5260,3,48,0,9,1,1
14501,4,3,3,2,5,3,3,2,5360,4,47,1,12,1,1
14502,4,3,3,2,5,3,2,2,5360,4,45,0,12,1,1
14601,3,3,3,3,3,2,2,2,2840,2,49,1,12,1,1
15001,3,4,3,2,3,3,2,2,2017,2,55,1,12,1,1
15402,4,5,3,2,2,2,2,2,2240,1,56,0,0,1,0
15701,5,3,3,3,3,2,3,2,6480,2,54,1,12,1,1
15702,5,3,3,1,3,2,2,2,6480,2,52,0,12,1,1
16401,2,2,2,2,3,3,2,2,7980,4,52,1,16,1,1
16402,2,2,2,2,3,3,2,2,7980,4,48,0,12,1,1
16801,3,3,3,3,3,2,2,2,5720,4,45,1,12,1,1
16901,4,4,3,3,5,4,3,2,240,2,52,1,6,1,1
16902,4,4,3,3,5,3,3,2,240,2,51,0,6,1,1
17201,5,3,3,3,4,4,3,2,2520,2,52,1,9,1,0
17202,5,5,5,2,4,4,3,2,2520,2,47,0,9,1,1
17501,4,5,4,2,4,3,3,3,9750,3,45,1,12,1,1
18101,5,3,3,3,5,3,2,2,1155,4,47,1,6,1,1
18901,4,3,3,2,4,3,2,2,7100,3,47,1,16,1,1
19101,3,3,4,3,3,3,3,2,2770,2,49,1,12,1,1
19102,3,3,4,3,3,3,3,2,2770,2,45,0,12,1,1
19301,4,4,4,2,5,3,4,3,1770,1,56,1,16,1,1
20001,3,4,4,2,3,4,3,2,1804,2,56,1,6,1,1
20201,4,5,4,3,3,4,2,2,3860,3,50,1,12,1,0
20401,3,3,3,2,3,3,2,2,13440,2,59,1,18,1,1
20402,3,3,2,2,3,2,2,2,13440,2,57,0,16,1,1
20601,4,4,3,3,4,4,3,3,1124,1,52,1,12,1,1
20802,4,3,4,3,4,3,3,2,3300,3,47,0,9,1,1
22101,4,3,4,3,4,4,3,2,3060,3,47,1,6,1,1
22201,3,3,3,2,5,4,3,2,1442,2,58,0,6,1,1
23201,3,2,2,2,3,3,3,2,8000,3,48,1,18,1,1
23701,3,4,3,2,5,4,2,2,2004,2,56,1,6,1,1
24301,4,4,4,3,4,3,4,3,4880,2,47,1,16,0,1
24501,3,3,2,3,3,3,3,3,2950,1,46,1,9,0,1
25602,3,3,3,2,3,2,2,2,2170,2,48,1,14,1,1
25701,3,3,3,2,3,4,4,2,2396,1,50,0,9,0,1
26101,4,3,4,2,2,3,3,2,11000,4,50,1,9,1,1
26701,3,3,3,2,3,2,2,2,8365,4,48,1,12,1,1
27601,3,2,3,2,4,3,3,2,2120,2,51,1,9,1,1
28202,4,3,4,1,2,2,2,2,3078,3,51,0,6,1,1
28602,4,3,3,3,4,3,4,2,3807,2,48,0,6,1,1
29601,3,3,3,3,2,2,2,2,11500,4,45,1,16,1,1
29702,4,4,4,3,5,3,3,3,3496,4,48,1,12,1,1
30101,4,3,3,2,5,3,3,3,2932,4,49,1,12,1,1
30102,4,4,3,3,5,4,3,4,2932,4,46,0,12,1,1
30601,3,3,4,3,4,3,3,2,2722,3,59,1,6,1,1
30702,3,3,4,2,4,4,3,2,3818,3,45,0,9,1,1
32201,3,3,4,3,4,3,3,3,700,2,52,1,6,1,1
32202,3,3,4,2,4,3,2,2,700,2,46,0,6,1,1
33101,3,3,4,2,4,2,2,2,1250,2,50,1,9,1,1
33102,3,3,4,2,4,2,2,2,1250,2,51,0,6,1,1
33401,3,3,4,3,5,4,3,3,2410,3,51,1,12,1,1
33402,3,3,4,3,5,4,3,2,2410,3,49,0,9,1,1
34001,5,5,5,3,4,3,3,2,10080,4,51,1,12,1,0
34002,5,5,5,3,4,4,3,2,10080,4,46,0,9,1,1
35301,4,3,3,3,5,3,3,3,4900,3,56,1,9,1,1
35302,4,4,4,4,5,4,2,3,4900,3,53,0,12,1,1
35401,4,3,5,2,3,3,3,2,4180,4,54,0,6,0,1
36102,4,4,3,3,3,2,2,2,910,2,47,0,12,1,1
36501,3,3,3,2,3,3,2,2,4005,2,58,1,12,1,1
36502,3,3,3,2,3,3,2,2,4005,2,53,0,9,1,1
36601,5,4,4,3,4,3,3,3,11850,2,54,1,9,1,0
36602,5,4,4,3,4,3,3,3,11850,2,49,0,9,1,0
37004,3,3,4,2,4,4,3,2,828,2,57,0,0,1,0
37101,3,3,3,5,4,3,3,4,1907,1,54,1,12,1,1
37701,3,3,3,2,5,4,4,3,2550,2,54,1,6,1,1
37702,3,3,3,2,5,3,3,3,2550,2,50,0,6,1,0
38401,4,5,3,3,4,4,3,3,2582,3,59,1,6,1,1
38402,4,5,3,3,4,4,3,3,2582,3,53,0,6,1,1
38501,4,3,4,2,3,3,3,3,2004,3,53,1,9,1,1
38502,4,4,4,2,3,3,3,3,2004,3,51,0,9,1,0
39304,4,4,3,2,4,3,3,3,5790,5,58,0,6,1,1
39401,3,3,4,2,3,3,4,3,4632,3,59,1,9,1,1
39402,3,3,3,2,3,3,4,3,4632,3,55,0,6,1,1
39501,4,3,2,2,2,3,2,2,19934,4,51,1,12,1,1
39502,4,3,3,2,2,3,3,2,19934,4,47,0,9,1,0
39701,4,3,3,1,3,2,2,2,7648,3,47,1,16,1,0
39901,3,3,3,2,4,3,3,3,3668,3,47,1,9,1,1
40101,3,4,3,2,3,3,3,3,4760,3,51,1,12,1,0
40201,3,3,3,3,3,3,3,2,3166,2,57,1,9,1,1
41002,3,3,3,2,3,3,3,2,4980,3,57,0,16,1,1
41101,3,3,2,3,3,2,2,2,4080,3,47,0,16,0,1
42401,4,2,3,2,4,3,3,2,7300,4,46,1,12,1,1
42801,4,5,4,3,3,3,3,1,2640,4,55,1,12,1,0
42901,4,4,5,3,5,4,3,3,4180,3,50,1,6,1,0
43601,3,2,2,2,5,3,3,3,1800,2,51,1,12,1,1
43602,3,2,2,2,5,4,3,3,1800,2,49,0,6,1,1
44002,3,4,3,3,3,3,1,2,700,1,59,0,6,1,0
44101,4,5,5,3,5,4,4,3,3540,4,47,0,9,1,1
45101,2,2,2,2,3,3,2,2,4110,3,53,1,12,1,1
45701,3,3,3,2,2,2,2,2,16980,2,47,1,18,1,1
45801,3,4,3,2,3,3,3,2,4920,2,49,1,16,1,1
45901,3,3,3,2,4,3,4,2,4415,2,48,1,18,1,1
46101,4,5,3,2,3,4,3,2,1220,2,54,1,12,1,1
46301,3,2,2,2,3,2,2,2,11820,2,46,1,14,1,1
46803,4,4,3,3,3,3,2,1,8280,4,46,1,12,1,1
47001,3,3,2,2,3,3,3,2,4044,1,47,0,18,0,1
47601,3,3,3,2,2,3,2,2,5500,2,53,1,16,1,1
50201,3,3,3,2,3,3,3,2,8060,4,46,1,12,1,1
50801,3,3,3,2,3,3,3,2,2786,1,49,0,6,0,1
51001,5,5,4,5,3,3,3,2,2912,3,51,1,12,1,1
51201,3,3,2,2,3,3,3,1,4940,2,46,1,12,1,1
51802,4,5,2,2,4,3,3,2,4420,2,49,0,9,1,0
51901,4,3,4,3,5,4,3,3,3032,2,55,1,12,1,0
51902,4,4,4,3,5,4,3,3,3032,2,53,0,6,1,1
52001,4,4,4,3,3,3,3,3,2070,1,59,1,0,0,1
52201,3,3,3,3,4,4,4,3,3000,3,46,1,12,1,1
52601,3,3,3,3,4,4,3,2,3920,4,47,1,12,1,1
52602,3,3,4,3,4,3,2,2,3920,4,46,0,12,1,1
53002,5,4,3,2,3,3,3,3,4200,4,46,1,12,1,1
53201,3,3,4,1,3,3,3,2,7560,4,47,1,12,1,1
53402,3,3,4,3,2,2,2,2,13150,4,47,1,12,1,1
53901,3,4,4,2,3,3,3,2,10100,3,46,1,12,1,0
54902,4,4,4,3,3,2,2,2,3600,2,50,0,9,1,0
55001,4,4,4,3,3,3,3,2,7710,3,46,1,12,1,1
55501,4,4,4,3,5,3,4,3,1440,4,47,1,6,1,0
55702,3,3,2,2,4,3,3,2,5150,2,47,0,9,1,0
55802,4,4,3,3,4,3,3,2,4940,3,54,0,12,1,0
57601,4,4,4,4,4,3,3,2,3360,4,47,1,6,0,1
57901,4,4,3,4,3,3,3,3,1180,1,47,0,6,0,0
58601,3,3,4,4,3,3,3,3,2318,2,50,1,9,0,1
