CNTLNUM,SCHCNTL,currentTeacher,TFSFINWT,F0105,F0108,F0113,F0116,T0293,T0294,T0295,T0296,T0297,T0298,T0299,T0300,T0301,T0303,T0306,T0307,T0308,T0309,T0310,T0311,T0312,T0315,T0320,T0321,T0322,T0324,T0325,T0326,T0327,T0331,T0332,T0335,T0336,T0337,T0338,T0339,T0340,TFNLWGT,LEP_T,MGMNT_T,NEWTCH,PLAN,PUPILS_D,PUPILS_S,SBKGD_T,SDLQ_T,T0051,T0059,T0106,T0120,T0122,T0124,T0125,T0126,T0127,T0147,T0148,T0149,T0150,T0153,T0154,T0155,T0156,T0158,T0208,T0248,T0250,treat,teachImputed,PUPILS
100048,102475,1,6.1544,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,5,5,5,5,5,4,1,1,4,3,1,2,1,1,1,1,1,2,2,1,2,4,2,4,4,4,1,1,2,1,2,1,1,5.8464,0,20,Teacher has taught 3 years or less,14.29,0,13,6,15,1,0,2,1,5,1,1,1,1,1,1,5,2,1,1,1,2,1,13,1,-8,0,1,13
100161,107035,1,44.296,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,3,1,3,5,3,4,3,2,4,4,2,4,3,4,3,4,4,4,4,1,2,2,3,1,1,4,1,1,1,1,4,4,5,37.75,0.96,11,Teacher has taught 3 years or less,19.74,104,0,7,10,1,0,5,1,5,1,1,1,1,2,-8,0,2,2,2,2,2,2,0,2,2,0,0,104
100243,107114,1,46.2731,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,5,5,5,5,5,5,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,4,3,3,1,3,2,1,1,1,3,2,34.6454,9.09,18,Teacher has taught 3 years or less,4.76,66,0,5,14,1,0,0,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,66
100250,105659,0,55.7058,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,4,1,1,4,3,2,4,4,3,3,4,3,2,4,3,4,4,2,2,3,4,4,3,4,4,4,2,4,3,2,4,1,1,44.9987,0,6,Teacher has taught 3 years or less,6.46,0,17,13,17,1,0,1,1,2,-8,-8,-8,-8,-8,-8,0,2,2,2,2,2,2,17,1,-8,0,0,17
100260,101895,1,518.9728,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,4,2,5,5,4,5,2,2,3,2,3,3,3,3,2,3,2,2,1,2,2,3,2,2,3,4,1,3,2,2,3,2,1,69.7088,0,14,Teacher has taught 3 years or less,9.38,0,0,10,12,1,0,0,1,5,1,1,2,2,1,1,5,2,1,1,2,2,2,41,1,1,0,1,0
100379,102405,1,2524.8635,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,1,1,4,4,4,4,1,2,2,4,2,2,2,2,1,2,2,1,2,4,4,4,4,2,4,4,2,1,2,3,4,2,3,245.5062,25,17,Teacher has taught 3 years or less,7.14,0,16,10,16,1,0,0,1,5,1,1,1,1,2,-8,0,2,1,1,1,2,2,16,-8,1,0,0,16
100406,108820,1,477.8938,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,3,3,5,5,5,5,1,1,2,2,1,1,2,2,1,2,1,1,1,4,4,4,4,4,4,4,4,3,3,3,3,1,1,216.3279,5.88,20,Teacher has taught 3 years or less,8.06,0,17,12,20,1,1,0,3,5,1,1,1,1,1,1,4,2,1,1,1,1,1,17,-8,1,1,0,17
100470,101340,1,870.235,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,1,2,3,4,4,4,1,1,2,2,1,1,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1,21.3322,0,20,Teacher has taught 3 years or less,20,0,24,16,20,1,0,1,3,5,1,1,1,1,1,1,3,2,1,1,2,2,2,24,1,-8,0,1,24
100515,107766,1,694.9027,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,3,4,5,5,5,5,1,1,2,2,1,2,2,2,1,2,1,4,1,1,1,4,2,3,4,4,1,3,1,2,4,1,1,163.3255,4.17,20,Teacher has taught 3 years or less,6.25,0,24,10,14,1,0,1,1,5,1,1,1,1,1,2,4,1,1,2,1,2,2,24,2,2,0,0,24
100572,109463,1,81.9856,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,5,4,5,5,4,5,1,1,2,1,1,2,1,2,1,2,2,3,1,4,3,3,3,3,3,3,3,3,3,3,4,2,1,61.8193,0.68,19,Teacher has taught 3 years or less,13.1,146,0,13,15,1,0,0,1,5,1,1,1,1,1,1,4,2,1,2,2,1,1,0,2,1,1,1,146
